2015-09-16 13:13:00 - playuri received command 
2015-09-16 13:14:19 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:37 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:38 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:38 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:38 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:38 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:39 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:39 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:39 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:39 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:39 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:40 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:14:40 - playuri received command //192.168.2.101/sounds/notification_vgm.wav
2015-09-16 13:15:46 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:49 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:50 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:50 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:51 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:51 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:51 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:51 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:51 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:51 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:52 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:52 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:52 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:15:52 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:16:19 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:16:29 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:16:35 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:16:35 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:16:35 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:16:35 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:16:35 - playuri received command //192.168.2.101/sounds/doorbell.mp3
2015-09-16 13:17:08 - playuri received command "//192.168.2.101/sounds/doorbell.mp3"
2015-09-16 13:17:12 - playuri received command "//192.168.2.101/sounds/doorbell.mp3"
2015-09-16 13:17:12 - playuri received command "//192.168.2.101/sounds/doorbell.mp3"
2015-09-16 13:17:12 - playuri received command "//192.168.2.101/sounds/doorbell.mp3"
2015-09-16 13:17:13 - playuri received command "//192.168.2.101/sounds/doorbell.mp3"
2015-09-16 13:17:13 - playuri received command "//192.168.2.101/sounds/doorbell.mp3"
2015-09-16 13:23:49 - stop received command ON
2015-09-16 13:23:51 - stop received command OFF
2015-09-16 13:24:15 - stop received command ON
2015-09-16 13:24:16 - stop received command OFF
2015-09-16 13:24:17 - stop received command ON
2015-09-16 13:24:17 - stop received command OFF
2015-09-16 13:24:18 - stop received command ON
2015-09-16 13:24:18 - stop received command OFF
2015-09-16 13:24:18 - stop received command ON
2015-09-16 13:24:18 - stop received command OFF
2015-09-16 13:24:18 - stop received command ON
2015-09-16 13:24:19 - stop received command OFF
2015-09-16 13:24:19 - stop received command ON
2015-09-16 13:24:19 - stop received command OFF
2015-09-16 13:24:19 - stop received command ON
2015-09-16 13:24:19 - stop received command OFF
2015-09-16 13:24:20 - stop received command ON
2015-09-16 13:24:20 - stop received command OFF
2015-09-16 13:24:20 - stop received command ON
2015-09-16 13:24:20 - stop received command OFF
2015-09-16 13:24:20 - stop received command ON
2015-09-16 13:24:21 - stop received command OFF
2015-09-16 13:24:21 - stop received command ON
2015-09-16 13:24:21 - stop received command OFF
2015-09-16 13:24:21 - stop received command ON
2015-09-16 13:24:21 - stop received command OFF
2015-09-16 13:24:22 - stop received command ON
2015-09-16 13:24:24 - stop received command OFF
2015-09-16 13:24:25 - stop received command ON
2015-09-16 13:24:26 - stop received command OFF
2015-09-16 13:26:52 - stop received command ON
2015-09-16 13:26:53 - stop received command OFF
2015-09-16 13:34:53 - stop received command ON
2015-09-16 13:34:55 - stop received command OFF
2015-09-16 13:34:55 - stop received command ON
2015-09-16 13:34:57 - stop received command OFF
2015-09-16 13:35:00 - stop received command ON
2015-09-16 13:35:01 - stop received command OFF
2015-09-16 13:35:01 - stop received command ON
2015-09-16 13:35:01 - stop received command OFF
2015-09-16 13:35:01 - stop received command ON
2015-09-16 13:35:02 - stop received command OFF
2015-09-16 13:35:02 - stop received command ON
2015-09-16 13:35:02 - stop received command OFF
2015-09-16 13:35:03 - stop received command ON
2015-09-16 13:35:03 - stop received command OFF
2015-09-16 13:35:04 - stop received command ON
2015-09-16 13:35:04 - stop received command OFF
2015-09-16 13:35:04 - stop received command ON
2015-09-16 13:35:04 - stop received command OFF
2015-09-16 13:38:14 - mutesong received command ON
2015-09-16 13:38:15 - mutesong received command OFF
2015-09-16 13:38:16 - mutesong received command ON
2015-09-16 13:38:16 - mutesong received command OFF
2015-09-16 13:38:16 - mutesong received command ON
2015-09-16 13:38:17 - mutesong received command OFF
2015-09-16 13:38:17 - mutesong received command ON
2015-09-16 13:38:17 - mutesong received command OFF
2015-09-16 13:38:17 - mutesong received command ON
2015-09-16 13:38:17 - mutesong received command OFF
2015-09-16 13:38:17 - mutesong received command ON
2015-09-16 13:38:18 - mutesong received command OFF
2015-09-16 13:38:18 - mutesong received command ON
2015-09-16 13:38:18 - mutesong received command OFF
2015-09-16 13:38:18 - mutesong received command ON
2015-09-16 13:38:18 - mutesong received command OFF
2015-09-16 13:38:18 - mutesong received command ON
2015-09-16 13:45:57 - mutesong received command ON
2015-09-16 13:46:11 - mutesong received command OFF
2015-09-16 13:46:11 - mutesong received command ON
2015-09-16 13:46:12 - mutesong received command OFF
2015-09-16 13:46:12 - mutesong received command ON
2015-09-16 13:46:12 - mutesong received command OFF
2015-09-16 13:46:12 - mutesong received command ON
2015-09-16 13:46:12 - mutesong received command OFF
2015-09-16 13:46:13 - mutesong received command ON
2015-09-16 13:46:13 - mutesong received command OFF
2015-09-16 13:46:13 - mutesong received command ON
2015-09-16 13:46:14 - stop received command ON
2015-09-16 13:46:14 - stop received command OFF
2015-09-16 13:46:15 - stop received command ON
2015-09-16 13:46:17 - mutesong received command OFF
2015-09-16 13:46:17 - stop received command OFF
2015-09-16 13:46:19 - mutesong received command ON
2015-09-16 13:46:20 - stop received command ON
2015-09-16 13:48:04 - mutesong received command ON
2015-09-16 13:48:05 - stop received command ON
2015-09-16 13:48:06 - stop received command OFF
2015-09-16 13:48:07 - stop received command ON
2015-09-16 13:48:07 - stop received command OFF
2015-09-16 13:48:07 - stop received command ON
2015-09-16 13:48:07 - stop received command OFF
2015-09-16 13:48:08 - stop received command ON
2015-09-16 13:48:08 - stop received command OFF
2015-09-16 13:48:08 - stop received command ON
2015-09-16 13:48:08 - stop received command OFF
2015-09-16 13:48:08 - stop received command ON
2015-09-16 13:48:09 - stop received command OFF
2015-09-16 13:48:09 - stop received command ON
2015-09-16 13:48:09 - stop received command OFF
2015-09-16 13:48:09 - stop received command ON
2015-09-16 13:48:09 - stop received command OFF
2015-09-16 13:48:10 - stop received command ON
2015-09-16 13:48:10 - stop received command OFF
2015-09-16 13:48:10 - stop received command ON
2015-09-16 13:48:10 - stop received command OFF
2015-09-16 13:48:10 - stop received command ON
2015-09-16 13:48:11 - stop received command OFF
2015-09-16 13:48:12 - stop received command ON
2015-09-16 13:48:13 - stop received command OFF
2015-09-16 13:48:13 - stop received command ON
2015-09-16 13:48:14 - stop received command OFF
2015-09-16 13:48:14 - stop received command ON
2015-09-16 13:48:15 - stop received command OFF
2015-09-16 13:48:15 - stop received command ON
2015-09-16 13:48:15 - stop received command OFF
2015-09-16 13:48:15 - stop received command ON
2015-09-16 13:48:15 - stop received command OFF
2015-09-16 13:48:15 - stop received command ON
2015-09-16 13:48:16 - stop received command OFF
2015-09-16 13:48:16 - stop received command ON
2015-09-16 13:48:16 - stop received command OFF
2015-09-16 13:48:16 - stop received command ON
2015-09-16 13:48:16 - stop received command OFF
2015-09-16 13:48:17 - stop received command ON
2015-09-16 13:48:17 - stop received command OFF
2015-09-16 13:48:17 - stop received command ON
2015-09-16 13:48:17 - stop received command OFF
2015-09-16 13:48:17 - stop received command ON
2015-09-16 13:48:18 - stop received command OFF
2015-09-16 13:48:18 - stop received command ON
2015-09-16 13:48:18 - stop received command OFF
